IMEI,PartNmbr,CustNmbr,Deldate,Shipper_CustNmbr,Orderref,CustomerName,Description
287387736245064,12033,913483,10/05/2015,913483,XPPU_10_05_2015,"Phones For Me, Limited","NOK X3-02 GSM GRAPHITE"
286531734731093,12037,100464,10/05/2015,100464,XA1C_10_05_2015,"Prima A1 Ltd",SAM Galaxy S II
282961731023968,12025,913481,11/11/2014,913481,XCPW_11_11_2014,"The Cellphone Station, Ltd",SAMSUNG GALAXY TAB 7 INCH ANDROID 1 GHZ 16GB
283872739080729,12017,913483,14/04/2015,913483,XPPU_14_04_2015,"Phones For ME, Ltd",BlackBerry 9300 Curve
284262737139470,12021,913481,28/03/2015,913481,XCPW_28_03_2015,"The Cellphone Station, Ltd",BlackBerry 9780 Black
284262737141633,12021,913483,26/04/2015,913483,XPPU_26_04_2015,"Phones For ME, Ltd",BlackBerry 9780 Black
284343736336000,10923,913481,04/04/2015,913481,XCPW_04_04_2015,"The Cellphone Station, Ltd",Nokia 2730 Black
284494730116375,12026,913481,14/04/2015,913481,XCPW_14_04_2015,"The Cellphone Station, Ltd",Samsung i9000 (16GB) Black Ref
284695735567400,12022,913481,05/04/2015,913481,XCPW_05_04_2015,"The Cellphone Station, Ltd",BlackBerry 9800 Black
284864734405810,12027,913483,03/05/2015,913483,XPPU_03_05_2015,"Phones For ME, Ltd",Nokia E7
284864738498480,12027,913481,08/05/2015,913481,XCPW_08_05_2015,"The Cellphone Station, Ltd",Nokia E7
284866731459237,10910,913481,04/04/2015,913481,XCPW_04_04_2015,"The Cellphone Station, Ltd",Nokia 6700 Black
284890737022161,12029,913481,09/04/2015,913481,XCPW_09_04_2015,"The Cellphone Station, Ltd",Samsung Galaxy Ace S5830 Black
284909732538201,12017,913481,13/04/2015,913481,XCPW_13_04_2015,"The Cellphone Station, Ltd",BlackBerry 9300 Curve
